date,SPY,EFA,TLT,LQD,GLD,USO,UUP,BTC-USD
2021-07-02,406.41241455078125,68.85173034667969,123.17496490478516,111.37159729003906,167.2899932861328,50.93000030517578,21.380102157592773,33897.046875
2021-07-06,405.6720886230469,68.40046691894531,124.6187744140625,111.77774047851562,168.1199951171875,49.900001525878906,21.45768928527832,34235.1953125
2021-07-07,407.1058044433594,68.77362060546875,125.72274780273438,112.15901184082031,168.75999450683594,48.65999984741211,21.49217414855957,33855.328125
2021-07-08,403.7886962890625,67.88846588134766,126.21527862548828,112.21703338623047,168.64999389648438,49.52000045776367,21.405961990356445,32877.37109375
2021-07-09,408.0990295410156,69.04263305664062,124.44033813476562,111.74459838867188,169.2100067138672,50.40999984741211,21.35424041748047,33798.01171875
2021-07-12,409.560791015625,69.33770751953125,124.27902221679688,111.68658447265625,169.0,50.310001373291016,21.380102157592773,33155.84765625
2021-07-13,408.1646423339844,68.97322082519531,123.32785034179688,111.27215576171875,169.22000122070312,51.150001525878906,21.509416580200195,32702.025390625
2021-07-14,408.7736511230469,69.12943267822266,124.72914123535156,111.78601837158203,171.0399932861328,49.70000076293945,21.405961990356445,32822.34765625
2021-07-15,407.37750244140625,68.46990203857422,126.1048812866211,112.02641296386719,171.07000732421875,49.040000915527344,21.466310501098633,31780.73046875
2021-07-16,404.1821594238281,67.966552734375,125.8670654296875,111.86893463134766,169.41000366210938,49.13999938964844,21.49217414855957,31421.5390625
2021-07-19,398.21331787109375,66.7342758178711,128.62718200683594,112.67288208007812,169.61000061035156,45.84000015258789,21.52665901184082,30817.83203125
2021-07-20,403.9197998046875,67.22024536132812,127.38724517822266,112.5154037475586,169.38999938964844,46.5099983215332,21.552520751953125,29807.34765625
2021-07-21,407.190185546875,68.24427032470703,125.77369689941406,112.11756896972656,168.75999450683594,48.27000045776367,21.500795364379883,32110.693359375
2021-07-22,408.0428466796875,68.27029418945312,126.96261596679688,112.5816879272461,169.08999633789062,49.16999816894531,21.52665901184082,32313.10546875
2021-07-23,412.2406921386719,68.74759674072266,126.11335754394531,112.53199005126953,168.55999755859375,49.470001220703125,21.5352783203125,33581.55078125
2021-07-26,413.2527160644531,68.8430404663086,125.73974609375,112.28330993652344,168.16000366210938,49.66999816894531,21.466310501098633,37337.53515625
